"Country or Area","Year","Value"
"Japan","2013","21901.3702815217"
"Japan","2012","21955.2604322833"
"Japan","2011","22332.9258189895"
"Japan","2010","22728.8564787549"
"Japan","2009","23207.1723384909"
"Japan","2008","23771.9396830187"
"Japan","2007","24662.459431642"
"Japan","2006","25226.2277005237"
"Japan","2005","25339.1205946462"
"Japan","2004","25669.9522239471"
"Japan","2003","25847.8711362644"
"Japan","2002","25969.859018168"
"Japan","2001","26551.6561207586"
"Japan","2000","30181.0190776701"
"Japan","1999","27659.817297743"
"Japan","1998","33786.1775357514"
"Japan","1997","35360.2209884157"
"Japan","1996","34557.5961091977"
"Japan","1995","33455.7268854775"
"Japan","1994","33174.4066956759"
"Japan","1993","31959.1926163006"
"Japan","1992","32053.835716285"
"Japan","1991","31900.8755606991"
"Japan","1990","32218.2234995033"
"Latvia","2021","1332.78191086666"
"Latvia","2020","1336.03045863784"
"Latvia","2019","1302.72380262653"
"Latvia","2018","1223.08496158097"
"Latvia","2017","1272.77242657231"
"Latvia","2016","1263.61987843108"
"Latvia","2015","1260.00276832185"
"Latvia","2014","1215.88845797004"
"Latvia","2013","1173.36245897287"
"Latvia","2012","1147.87802351979"
"Latvia","2011","1088.30478046739"
"Latvia","2010","1086.56336238332"
"Latvia","2009","1060.31250577655"
"Latvia","2008","1037.92566787027"
"Latvia","2007","1058.81137011264"
"Latvia","2006","1013.88957541125"
"Latvia","2005","1012.68290415995"
"Latvia","2004","979.280825770755"
"Latvia","2003","992.851242570368"
"Latvia","2002","951.493881532636"
"Latvia","2001","983.47237296313"
"Latvia","2000","914.284012819332"
"Latvia","1999","901.452440631345"
"Latvia","1998","957.285595946386"
"Latvia","1997","998.637882968162"
"Latvia","1996","995.995770568707"
"Latvia","1995","994.81980767394"
"Latvia","1994","1131.05192023676"
"Latvia","1993","1334.14583701514"
"Latvia","1992","1711.15275261718"
"Latvia","1991","2204.19838969971"
"Latvia","1990","2298.77525370067"
"Liechtenstein","2021","8.1649244851609"
"Liechtenstein","2020","8.17870756667365"
"Liechtenstein","2019","8.27149033021895"
"Liechtenstein","2018","8.1442269134055"
"Liechtenstein","2017","7.98096788945565"
"Liechtenstein","2016","8.0190597345217"
"Liechtenstein","2015","8.1593112786876"
"Liechtenstein","2014","8.1147985761516"
"Liechtenstein","2013","8.20080064748255"
"Liechtenstein","2012","8.4718745253369"
"Liechtenstein","2011","8.588666684241"
"Liechtenstein","2010","8.25237351485545"
"Liechtenstein","2009","8.44518079733865"
"Liechtenstein","2008","8.50927886881895"
"Liechtenstein","2007","8.33840077008775"
"Liechtenstein","2006","8.28423950562715"
"Liechtenstein","2005","8.11606066659055"
"Liechtenstein","2004","8.00555952061805"
"Liechtenstein","2003","8.52645184507365"
"Liechtenstein","2002","8.5368734449563"
"Liechtenstein","2001","8.4488379604064"
"Liechtenstein","2000","8.44977716726105"
"Liechtenstein","1999","8.5303119429578"
"Liechtenstein","1998","8.74369545092715"
"Liechtenstein","1997","9.0509932056088"
"Liechtenstein","1996","8.9915984873599"
"Liechtenstein","1995","9.063650265056"
"Liechtenstein","1994","9.12295723207145"
"Liechtenstein","1993","9.1542108189228"
"Liechtenstein","1992","9.3428426432372"
"Liechtenstein","1991","9.372704555593"
"Liechtenstein","1990","9.128988692669"
"Lithuania","2021","2595.24972117884"
"Lithuania","2020","2793.64334215599"
"Lithuania","2019","2603.67995565917"
"Lithuania","2018","2555.11149256426"
"Lithuania","2017","2680.86617144491"
"Lithuania","2016","2635.26085541183"
"Lithuania","2015","2681.28041434665"
"Lithuania","2014","2661.30414108939"
"Lithuania","2013","2526.68349880026"
"Lithuania","2012","2739.21660620119"
"Lithuania","2011","2905.99564996753"
"Lithuania","2010","2592.92802937282"
"Lithuania","2009","2670.09336361535"
"Lithuania","2008","4511.83763272258"
"Lithuania","2007","4748.40760857437"
"Lithuania","2006","4046.72288930385"
"Lithuania","2005","4098.36802718749"
"Lithuania","2004","3870.18015760569"
"Lithuania","2003","3702.64373492381"
"Lithuania","2002","3612.01431824575"
"Lithuania","2001","3402.1848290927"
"Lithuania","2000","3289.40575672697"
"Lithuania","1999","3113.60388014678"
"Lithuania","1998","3146.08082721239"
"Lithuania","1997","2930.60771995651"
"Lithuania","1996","2832.27079593721"
